round,inertia,moved,count_0,count_1,count_2,count_3,count_4
0,26807.0,46.13561248779297,7788,1004,6090,28,90
1,14813.19921875,0.05640687048435211,7822,969,6090,28,91
2,14810.126953125,0.0,7822,969,6090,28,91
3,14810.126953125,0.0,7822,969,6090,28,91
4,14810.126953125,0.0,7822,969,6090,28,91
5,14810.126953125,0.0,7822,969,6090,28,91
6,14810.126953125,0.0,7822,969,6090,28,91
7,14810.126953125,0.0,7822,969,6090,28,91
8,14810.126953125,0.0,7822,969,6090,28,91
9,14810.126953125,0.0,7822,969,6090,28,91
10,14810.126953125,0.0,7822,969,6090,28,91
11,14810.126953125,0.0,7822,969,6090,28,91
12,14810.126953125,0.0,7822,969,6090,28,91
13,14810.126953125,0.0,7822,969,6090,28,91
14,14810.126953125,0.0,7822,969,6090,28,91
15,14810.126953125,0.0,7822,969,6090,28,91
16,14810.126953125,0.0,7822,969,6090,28,91
17,14810.126953125,0.0,7822,969,6090,28,91
18,14810.126953125,0.0,7822,969,6090,28,91
19,14810.126953125,0.0,7822,969,6090,28,91
20,14810.126953125,0.0,7822,969,6090,28,91
21,14810.126953125,0.0,7822,969,6090,28,91
22,14810.126953125,0.0,7822,969,6090,28,91
23,14810.126953125,0.0,7822,969,6090,28,91
24,14810.126953125,0.0,7822,969,6090,28,91
25,14810.126953125,0.0,7822,969,6090,28,91
26,14810.126953125,0.0,7822,969,6090,28,91
27,14810.126953125,0.0,7822,969,6090,28,91
28,14810.126953125,0.0,7822,969,6090,28,91
29,14810.126953125,0.0,7822,969,6090,28,91
